name,bio,Duplicate,Remove End,Remove Front,bio_cleaned,Check,Last_Name,Name_in_Bio
"Walker, Joseph","WIKIPEDIA EXCERPTLeroy Gordon ""Gordo"" Cooper Jr. was an American aerospace engineer, test pilot, United States Air Force pilot, and the youngest of the seven original astronauts in Project Mercury, the first human space program of the United States. Cooper learned to fly as a child, and after service in the United States Marine Corps during World War II, he was commissioned into the United States Air Force in 1949. After service as a fighter pilot, he qualified as a test pilot in 1956, and was selected as an astronaut in 1959.source",1,"WIKIPEDIA EXCERPTLeroy Gordon ""Gordo"" Cooper Jr. was an American aerospace engineer, test pilot, United States Air Force pilot, and the youngest of the seven original astronauts in Project Mercury, the first human space program of the United States. Cooper learned to fly as a child, and after service in the United States Marine Corps during World War II, he was commissioned into the United States Air Force in 1949. After service as a fighter pilot, he qualified as a test pilot in 1956, and was selected as an astronaut in 1959.","Leroy Gordon ""Gordo"" Cooper Jr. was an American aerospace engineer, test pilot, United States Air Force pilot, and the youngest of the seven original astronauts in Project Mercury, the first human space program of the United States. Cooper learned to fly as a child, and after service in the United States Marine Corps during World War II, he was commissioned into the United States Air Force in 1949. After service as a fighter pilot, he qualified as a test pilot in 1956, and was selected as an astronaut in 1959.","Joseph Albert Walker was an American World War II pilot, experimental physicist, NASA test pilot, and astronaut.  He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA.",X,Walker,FOUND
"Cooper, L.","WIKIPEDIA EXCERPTValery Fyodorovich Bykovsky was a Soviet cosmonaut who flew on four space flights: Vostok 5, Vostok 6, Soyuz 22, and Soyuz 31. He was also backup for Vostok 3 and Soyuz 37.source",1,"WIKIPEDIA EXCERPTValery Fyodorovich Bykovsky was a Soviet cosmonaut who flew on four space flights: Vostok 5, Vostok 6, Soyuz 22, and Soyuz 31. He was also backup for Vostok 3 and Soyuz 37.","Valery Fyodorovich Bykovsky was a Soviet cosmonaut who flew on four space flights: Vostok 5, Vostok 6, Soyuz 22, and Soyuz 31. He was also backup for Vostok 3 and Soyuz 37.","Leroy Gordon ""Gordo"" Cooper Jr. was an American aerospace engineer, test pilot, United States Air Force pilot, and the youngest of the seven original astronauts in Project Mercury, the first human space program of the United States. Cooper learned to fly as a child, and after service in the United States Marine Corps during World War II, he was commissioned into the United States Air Force in 1949. After service as a fighter pilot, he qualified as a test pilot in 1956, and was selected as an astronaut in 1959.",X,Cooper,FOUND
"Bykovsky, Valery","WIKIPEDIA EXCERPTValentina Vladimirovna Tereshkova is a member of the Russian State Duma, engineer, and former cosmonaut. She is the first and youngest woman to have flown in space with a solo mission on the Vostok 6 on 16 June 1963. She orbited the Earth 48 times, spent almost three days in space, and remains the only woman to have been on a solo space mission.source",1,"WIKIPEDIA EXCERPTValentina Vladimirovna Tereshkova is a member of the Russian State Duma, engineer, and former cosmonaut. She is the first and youngest woman to have flown in space with a solo mission on the Vostok 6 on 16 June 1963. She orbited the Earth 48 times, spent almost three days in space, and remains the only woman to have been on a solo space mission.","Valentina Vladimirovna Tereshkova is a member of the Russian State Duma, engineer, and former cosmonaut. She is the first and youngest woman to have flown in space with a solo mission on the Vostok 6 on 16 June 1963. She orbited the Earth 48 times, spent almost three days in space, and remains the only woman to have been on a solo space mission.","Valery Fyodorovich Bykovsky was a Soviet cosmonaut who flew on four space flights: Vostok 5, Vostok 6, Soyuz 22, and Soyuz 31. He was also backup for Vostok 3 and Soyuz 37.",X,Bykovsky,FOUND
"Tereshkova, Valentina","WIKIPEDIA EXCERPTVladimir Mikhaylovich Komarov was a Soviet test pilot, aerospace engineer, and cosmonaut. In October 1964, he commanded Voskhod 1, the first spaceflight to carry more than one crew member. He became the first Soviet cosmonaut to fly in space twice when he was selected as the solo pilot of Soyuz 1, its first crewed test flight. A parachute failure caused his Soyuz capsule to crash into the ground after re-entry on 24 April 1967, making him the first human to die in a space flight.Komarov was one of the most highly experienced and qualified candidates accepted into the first squad of cosmonauts selected in 1960. He was declared medically unfit for training or spaceflight twice while he was in the program, but his perseverance, superior skills, and engineering knowledge allowed him to continue playing an active role. During his time at the cosmonaut training center, he contributed to space vehicle design, cosmonaut training, and evaluation and public relations.source",1,"WIKIPEDIA EXCERPTVladimir Mikhaylovich Komarov was a Soviet test pilot, aerospace engineer, and cosmonaut. In October 1964, he commanded Voskhod 1, the first spaceflight to carry more than one crew member. He became the first Soviet cosmonaut to fly in space twice when he was selected as the solo pilot of Soyuz 1, its first crewed test flight. A parachute failure caused his Soyuz capsule to crash into the ground after re-entry on 24 April 1967, making him the first human to die in a space flight.Komarov was one of the most highly experienced and qualified candidates accepted into the first squad of cosmonauts selected in 1960. He was declared medically unfit for training or spaceflight twice while he was in the program, but his perseverance, superior skills, and engineering knowledge allowed him to continue playing an active role. During his time at the cosmonaut training center, he contributed to space vehicle design, cosmonaut training, and evaluation and public relations.","Vladimir Mikhaylovich Komarov was a Soviet test pilot, aerospace engineer, and cosmonaut. In October 1964, he commanded Voskhod 1, the first spaceflight to carry more than one crew member. He became the first Soviet cosmonaut to fly in space twice when he was selected as the solo pilot of Soyuz 1, its first crewed test flight. A parachute failure caused his Soyuz capsule to crash into the ground after re-entry on 24 April 1967, making him the first human to die in a space flight.Komarov was one of the most highly experienced and qualified candidates accepted into the first squad of cosmonauts selected in 1960. He was declared medically unfit for training or spaceflight twice while he was in the program, but his perseverance, superior skills, and engineering knowledge allowed him to continue playing an active role. During his time at the cosmonaut training center, he contributed to space vehicle design, cosmonaut training, and evaluation and public relations.","Valentina Vladimirovna Tereshkova is a member of the Russian State Duma, engineer, and former cosmonaut. She is the first and youngest woman to have flown in space with a solo mission on the Vostok 6 on 16 June 1963. She orbited the Earth 48 times, spent almost three days in space, and remains the only woman to have been on a solo space mission.",X,Tereshkova,FOUND
"Rushworth, Robert",WIKIPEDIA EXCERPTKonstantin Petrovich Feoktistov was a Soviet cosmonaut and an eminent space engineer. Feoktistov also wrote several books on space technology and exploration. The Feoktistov crater on the far side of the Moon is named in his honor.source,1,WIKIPEDIA EXCERPTKonstantin Petrovich Feoktistov was a Soviet cosmonaut and an eminent space engineer. Feoktistov also wrote several books on space technology and exploration. The Feoktistov crater on the far side of the Moon is named in his honor.,,"Robert Aitken ""Bob"" Rushworth�was an American�United States Air Force�major general,�World War II,�Korean War�and�Vietnam War�pilot,�mechanical�and�aeronautical engineer,�test pilot�and�astronaut. He was one of twelve pilots who flew the�North American X-15, an experimental�spaceplane�jointly operated by the Air Force and�NASA. He flew 34 of the program's 199 flights, more than any other pilot.",O,Rushworth,FOUND
"Komarov, Vladimir",WIKIPEDIA EXCERPTBoris Borisovich Yegorov was a Soviet physician-cosmonaut who became the first physician to make a space flight.source,1,WIKIPEDIA EXCERPTBoris Borisovich Yegorov was a Soviet physician-cosmonaut who became the first physician to make a space flight.,Boris Borisovich Yegorov was a Soviet physician-cosmonaut who became the first physician to make a space flight.,"Vladimir Mikhaylovich Komarov was a Soviet test pilot, aerospace engineer, and cosmonaut. In October 1964, he commanded Voskhod 1, the first spaceflight to carry more than one crew member. He became the first Soviet cosmonaut to fly in space twice when he was selected as the solo pilot of Soyuz 1, its first crewed test flight. A parachute failure caused his Soyuz capsule to crash into the ground after re-entry on 24 April 1967, making him the first human to die in a space flight.Komarov was one of the most highly experienced and qualified candidates accepted into the first squad of cosmonauts selected in 1960. He was declared medically unfit for training or spaceflight twice while he was in the program, but his perseverance, superior skills, and engineering knowledge allowed him to continue playing an active role. During his time at the cosmonaut training center, he contributed to space vehicle design, cosmonaut training, and evaluation and public relations.",X,Komarov,FOUND
"Feoktistov, Konstantin","WIKIPEDIA EXCERPTPavel Ivanovich Belyayev, was a Soviet fighter pilot with extensive experience in piloting different types of aircraft. He was the first commander of the cosmonaut corps and the cosmonaut who commanded the historic Voskhod 2 mission which saw the first man walk in space in 1965.source",1,"WIKIPEDIA EXCERPTPavel Ivanovich Belyayev, was a Soviet fighter pilot with extensive experience in piloting different types of aircraft. He was the first commander of the cosmonaut corps and the cosmonaut who commanded the historic Voskhod 2 mission which saw the first man walk in space in 1965.","Pavel Ivanovich Belyayev, was a Soviet fighter pilot with extensive experience in piloting different types of aircraft. He was the first commander of the cosmonaut corps and the cosmonaut who commanded the historic Voskhod 2 mission which saw the first man walk in space in 1965.",Konstantin Petrovich Feoktistov was a Soviet cosmonaut and an eminent space engineer. Feoktistov also wrote several books on space technology and exploration. The Feoktistov crater on the far side of the Moon is named in his honor.,X,Feoktistov,FOUND
"Yegorov, Boris","WIKIPEDIA EXCERPTAlexei Arkhipovich Leonov was a Soviet and Russian cosmonaut, Air Force major general, writer, and artist. On 18 March 1965, he became the first human to conduct a spacewalk, exiting the capsule during the Voskhod 2 mission.source",1,"WIKIPEDIA EXCERPTAlexei Arkhipovich Leonov was a Soviet and Russian cosmonaut, Air Force major general, writer, and artist. On 18 March 1965, he became the first human to conduct a spacewalk, exiting the capsule during the Voskhod 2 mission.","Alexei Arkhipovich Leonov was a Soviet and Russian cosmonaut, Air Force major general, writer, and artist. On 18 March 1965, he became the first human to conduct a spacewalk, exiting the capsule during the Voskhod 2 mission.",Boris Borisovich Yegorov was a Soviet physician-cosmonaut who became the first physician to make a space flight.,X,Yegorov,FOUND
"Belyayev, Pavel","WIKIPEDIA EXCERPTJohn Watts Young was an American astronaut, naval officer and aviator, test pilot, and aeronautical engineer. He became the ninth person to walk on the Moon as Commander of the Apollo 16 mission in 1972. Young enjoyed the longest career of any astronaut, becoming the first person to fly six space missions over the course of 42 years of active NASA service. He is the only person to have piloted and commanded four different classes of spacecraft: Gemini, the Apollo Command and Service Module, the Apollo Lunar Module, and the Space Shuttle. Before becoming an astronaut, Young received his Bachelor of Science degree with highest honors in Aeronautical Engineering from the Georgia Institute of Technology and joined the U.S. Navy. After serving at sea during the Korean War he became a naval aviator, and graduated from the U.S. Naval Test Pilot School, setting several world time-to-climb records as a test pilot. Young left the Navy in 1976 with the rank of captain.source",1,"WIKIPEDIA EXCERPTJohn Watts Young was an American astronaut, naval officer and aviator, test pilot, and aeronautical engineer. He became the ninth person to walk on the Moon as Commander of the Apollo 16 mission in 1972. Young enjoyed the longest career of any astronaut, becoming the first person to fly six space missions over the course of 42 years of active NASA service. He is the only person to have piloted and commanded four different classes of spacecraft: Gemini, the Apollo Command and Service Module, the Apollo Lunar Module, and the Space Shuttle. Before becoming an astronaut, Young received his Bachelor of Science degree with highest honors in Aeronautical Engineering from the Georgia Institute of Technology and joined the U.S. Navy. After serving at sea during the Korean War he became a naval aviator, and graduated from the U.S. Naval Test Pilot School, setting several world time-to-climb records as a test pilot. Young left the Navy in 1976 with the rank of captain.","John Watts Young was an American astronaut, naval officer and aviator, test pilot, and aeronautical engineer. He became the ninth person to walk on the Moon as Commander of the Apollo 16 mission in 1972. Young enjoyed the longest career of any astronaut, becoming the first person to fly six space missions over the course of 42 years of active NASA service. He is the only person to have piloted and commanded four different classes of spacecraft: Gemini, the Apollo Command and Service Module, the Apollo Lunar Module, and the Space Shuttle. Before becoming an astronaut, Young received his Bachelor of Science degree with highest honors in Aeronautical Engineering from the Georgia Institute of Technology and joined the U.S. Navy. After serving at sea during the Korean War he became a naval aviator, and graduated from the U.S. Naval Test Pilot School, setting several world time-to-climb records as a test pilot. Young left the Navy in 1976 with the rank of captain.","Pavel Ivanovich Belyayev, was a Soviet fighter pilot with extensive experience in piloting different types of aircraft. He was the first commander of the cosmonaut corps and the cosmonaut who commanded the historic Voskhod 2 mission which saw the first man walk in space in 1965.",X,Belyayev,FOUND
"Leonov, Alexei","WIKIPEDIA EXCERPTJames Alton ""Jim"" McDivitt, is an American former test pilot, United States Air Force pilot, aeronautical engineer, and NASA astronaut who flew in the Gemini and Apollo programs. He commanded the Gemini 4 flight during which Ed White performed the first U.S. spacewalk, and later the Apollo 9 flight which was the first crewed flight test of the Lunar Module and the complete set of Apollo flight hardware. He later became Manager of Lunar Landing Operations and was the Apollo Spacecraft Program Manager from 1969 to 1972.source",1,"WIKIPEDIA EXCERPTJames Alton ""Jim"" McDivitt, is an American former test pilot, United States Air Force pilot, aeronautical engineer, and NASA astronaut who flew in the Gemini and Apollo programs. He commanded the Gemini 4 flight during which Ed White performed the first U.S. spacewalk, and later the Apollo 9 flight which was the first crewed flight test of the Lunar Module and the complete set of Apollo flight hardware. He later became Manager of Lunar Landing Operations and was the Apollo Spacecraft Program Manager from 1969 to 1972.","James Alton ""Jim"" McDivitt, is an American former test pilot, United States Air Force pilot, aeronautical engineer, and NASA astronaut who flew in the Gemini and Apollo programs. He commanded the Gemini 4 flight during which Ed White performed the first U.S. spacewalk, and later the Apollo 9 flight which was the first crewed flight test of the Lunar Module and the complete set of Apollo flight hardware. He later became Manager of Lunar Landing Operations and was the Apollo Spacecraft Program Manager from 1969 to 1972.","Alexei Arkhipovich Leonov was a Soviet and Russian cosmonaut, Air Force major general, writer, and artist. On 18 March 1965, he became the first human to conduct a spacewalk, exiting the capsule during the Voskhod 2 mission.",X,Leonov,FOUND
"Young, John","WIKIPEDIA EXCERPTEdward Higgins ""Ed"" White II was an American aeronautical engineer, U.S. Air Force officer, test pilot, and NASA astronaut.source",1,"WIKIPEDIA EXCERPTEdward Higgins ""Ed"" White II was an American aeronautical engineer, U.S. Air Force officer, test pilot, and NASA astronaut.","Edward Higgins ""Ed"" White II was an American aeronautical engineer, U.S. Air Force officer, test pilot, and NASA astronaut.","John Watts Young was an American astronaut, naval officer and aviator, test pilot, and aeronautical engineer. He became the ninth person to walk on the Moon as Commander of the Apollo 16 mission in 1972. Young enjoyed the longest career of any astronaut, becoming the first person to fly six space missions over the course of 42 years of active NASA service. He is the only person to have piloted and commanded four different classes of spacecraft: Gemini, the Apollo Command and Service Module, the Apollo Lunar Module, and the Space Shuttle. Before becoming an astronaut, Young received his Bachelor of Science degree with highest honors in Aeronautical Engineering from the Georgia Institute of Technology and joined the U.S. Navy. After serving at sea during the Korean War he became a naval aviator, and graduated from the U.S. Naval Test Pilot School, setting several world time-to-climb records as a test pilot. Young left the Navy in 1976 with the rank of captain.",X,Young,FOUND
"McDivitt, James","WIKIPEDIA EXCERPTJoe Henry Engle, is an American pilot, aeronautical engineer and former NASA astronaut.  He was the commander of two Space Shuttle missions including STS-2, the program's second orbital flight. He also participated in the Shuttle program's Approach and Landing Tests.  Engle is one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA.source",1,"WIKIPEDIA EXCERPTJoe Henry Engle, is an American pilot, aeronautical engineer and former NASA astronaut.  He was the commander of two Space Shuttle missions including STS-2, the program's second orbital flight. He also participated in the Shuttle program's Approach and Landing Tests.  Engle is one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA.","Joe Henry Engle, is an American pilot, aeronautical engineer and former NASA astronaut.  He was the commander of two Space Shuttle missions including STS-2, the program's second orbital flight. He also participated in the Shuttle program's Approach and Landing Tests.  Engle is one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA.","James Alton ""Jim"" McDivitt, is an American former test pilot, United States Air Force pilot, aeronautical engineer, and NASA astronaut who flew in the Gemini and Apollo programs. He commanded the Gemini 4 flight during which Ed White performed the first U.S. spacewalk, and later the Apollo 9 flight which was the first crewed flight test of the Lunar Module and the complete set of Apollo flight hardware. He later became Manager of Lunar Landing Operations and was the Apollo Spacecraft Program Manager from 1969 to 1972.",X,McDivitt,FOUND
